"CYP.Name","Model1.dNdS","Model2.dNdS","M2.vs.M1.TestStatistic","M2.vs.M1.Pvalue","Model7.dNdS","Model8.dNdS","M8.vs.M7.TestStatistic","M8.vs.M7.Pvalue","Model8a.dNdS","M8.vs.M8a.TestStatistic","M8.vs.M8a.Pvalue"
"cyp46a1",0.0376125268,0.0376025268,0,1,0.036571,0.0373927667,0.292000000000371,0.864157703184482,0.0373998534,0,1
"cyp4f2",0.292156149,0.3101876541,1.40400000000045,0.49559312569254,0.298701,0.3102152814,2.52399999999943,0.283087285376888,0.2922450946,1.41399999999885,0.234393503818243
"cyp4f3",0.3148763345,0.3354726427,1.20600000000013,0.54716766837027,0.322136,0.3356395218,1.96599999999853,0.374186852767431,0.317589936,1.90999999999985,0.166963258659464
"cyp3a4",0.4352,0.5211803414,3.38000000000011,0.184519523992979,0.4,0.5211809758,3.95600000000013,0.138345652108165,0.4352,3.38000000000011,0.0659920550593431
"cyp8a1",0.1409425327,0.1409425327,0,1,0.138007,0.138008,0,1,0.138008,0,1
"cyp27a1",0.2405418616,0.2405418616,0,1,0.235994,0.235998,0,1,0.235998,0,1
"cyp39a1",0.4339756603,0.43397,0,1,0.4342,0.434203,0,1,0.434205,0,1
"cyp4b1",0.5330489154,0.7141185135,9.88799999999901,0.00712603713937637,0.552678,0.718079588,20.0959999999995,4.32722069875797e-05,0.5369770983,11.6360000000004,0.000646875569231711
"cyp4f22",0.145551836,0.1455511952,0,1,0.141561,0.141563,0,1,0.141649,0,1
"cyp2j2",0.38462,0.4196077524,1.56999999999971,0.456119701785706,0.4,0.4188990776,1.70200000000023,0.426987730652978,0.3846212308,1.59999999999945,0.205903210732146
"cyp24a1",0.2924647808,0.292463588,0,1,0.290388,0.290392,0,1,0.290351,0,1
"cyp8b1",0.37126,0.41152224,1.0059999999994,0.604713794394303,0.4,0.4115197112,1.34400000000005,0.510686183366175,0.3712606287,1.0059999999994,0.315863025968114
"cyp2f1",0.8045989966,1,-10.9580000000005,1,0.805917,0.8198098546,1.93600000000151,0.379841962851091,0.99999,12.7120000000014,0.000363316658746627
"cyp2a6_cyp2a13_cyp2a7",0.3906502498,0.4027947891,0.462000000001353,0.793739466034706,0.388041,0.4030715982,1.21799999999894,0.543894491709879,0.3905240856,0.317999999999302,0.572812057900041
"cyp2u1",0.1681876072,0.1681776072,0,1,0.166343,0.1678981872,0.068000000000211,0.966571504637405,0.1681930793,-0.0159999999996217,1
"cyp7b1",0.2586,1.0343103501,86.7539999999999,1.45080237708016e-19,0.2,1.0343051994,90.9780000000001,1.75540896784367e-20,0.2586,86.7539999999999,1.22894993026508e-20
"cyp1b1",0.28964,0.3310405284,1.72199999999975,0.422739131746015,0.3,0.331038866,1.79399999999987,0.407791200114253,0.2896407104,1.72199999999975,0.189435804498532
"cyp3a5",0.40599,0.6229846894,21.1880000000001,2.50659551763895e-05,0.4,0.6230205995,21.1979999999994,2.49409382034006e-05,0.405990594,21.174,4.19415879228129e-06
"cyp4a11_cyp4a22",0.377644352,0.5289338847,43.1319999999996,4.30531768654366e-10,0.40666,0.5370679208,43.1199999999999,4.33122724360487e-10,0.378036844,42.5140000000001,7.01781062523659e-11
