"CYP.Name","Model1.dNdS","Model2.dNdS","M2.vs.M1.TestStatistic","M2.vs.M1.Pvalue","Model7.dNdS","Model8.dNdS","M8.vs.M7.TestStatistic","M8.vs.M7.Pvalue","Model8a.dNdS","M8.vs.M8a.TestStatistic","M8.vs.M8a.Pvalue"
"cyp1b1",0.2495185725,0.2495185725,0,1,0.233791,0.2358768432,0.768000000000029,0.681131427179537,0.2348914533,0.195999999999913,0.657969090063892
"cyp5a1",0.3371623685,0.3371623685,0,1,0.321694,0.3285962464,0.53400000000147,0.765673071464811,0.3285977552,0,1
"cyp4b1",0.4322224254,0.4623574625,6.07999999999811,0.0478348894942436,0.449537,0.4633493888,18.8120000000017,8.22292072227973e-05,0.4332792,6.51800000000003,0.0106788026737578
"cyp3a43",0.307376869,0.331038417,1.83799999999974,0.398917759451608,0.306618,0.3310390692,1.83399999999983,0.399716393338168,0.3082849444,1.83399999999983,0.17565581516165
"cyp4f8",0.41576,0.5026026926,4.09599999999955,0.128992631036548,0.4,0.502596849,4.19599999999991,0.122701586185707,0.4157605842,4.09399999999914,0.0430356807045304
"cyp27a1",0.364984096,0.364974096,0,1,0.343726,0.3464401014,0.0680000000011205,0.966571504636965,0.3464434958,0,1
"cyp26a1",0.1701849161,0.1701751608,0,1,0.148721,0.14872,0,1,0.148719,0.00200000000040745,0.964329408266689
"cyp3a4_cyp3a5_cyp3a7",0.4281118895,0.5524564998,33.9119999999984,4.32616186647098e-08,0.425982,0.5554570378,47.5920000000006,4.62944052069693e-11,0.42752077,29.6920000000009,5.06433884771987e-08
"cyp17a1",0.429317083,0.429317083,0,1,0.404489,0.4165809636,0.772000000000844,0.679770525680034,0.413893078,0.244000000000597,0.621331913870213
"cyp2r1",0.193112105,0.193112105,0,1,0.189325,0.1927089962,0.844000000000051,0.655734039393425,0.1899419223,0.320000000000618,0.57160764495296
"cyp8b1",0.4357951945,0.4363472336,0.00200000000040745,0.999000499833172,0.424015,0.4365418992,1.07599999999911,0.583914915152888,0.4353757211,0.00599999999940337,0.9382578759679
"cyp2a6_cyp2a13_cyp2a7",0.3086039104,0.3086039104,0,1,0.271992,0.2719946626,0,1,0.271994,0,1
"cyp4x1",0.5493046185,0.568243386,1.0580000000009,0.589193869048378,0.533976,0.5571446757,2.17799999999988,0.336552878364757,0.5393632244,1.61800000000039,0.203370884671495
"cyp4f2_cyp4f3_cyp4f11_cyp4f12",0.3471036426,0.386866991,12.1280000000006,0.00232508193431001,0.314289,0.3513470295,28.7079999999987,5.83629192576263e-07,0.3180662271,16.2699999999968,5.49267298456741e-05
"cyp11a1",0.3591608864,0.3591508864,0,1,0.33042,0.3342460812,0.206000000000131,0.902126973481457,0.330938772,0.199999999998909,0.654720846019458
"cyp4z1",0.5382467113,1.09648809,119.360000000001,1.20588340900125e-26,0.550796,1.0720771494,136.02,2.9082536763398e-30,0.5374849279,118.904,1.09922753225805e-27
"cyp39a1",0.4857774805,0.5829088808,10.5860000000011,0.00502665764415927,0.470294,0.553524478,17.2139999999999,0.000182821553197534,0.4731015151,13.9560000000001,0.00018713942017517
"cyp27c1",0.3488552019,0.3488552019,0,1,0.308851,0.308856,0,1,0.308856,0,1
"cyp20a1",0.3955477186,0.4452543945,8.71600000000035,0.0128039699986543,0.379143,0.4219134237,12.4459999999999,0.00198328642427204,0.3838287476,10.4660000000003,0.00121591709583909
"cyp2s1",0.3207695376,0.3207595376,0,1,0.294065,0.2980031002,0.631999999999607,0.729059450167767,0.294066,0.631999999999607,0.426622648494446
"cyp26c1",0.2697752952,0.2697752952,0,1,0.232883,0.232887,-0.00200000000040745,1,0.232887,0,1
"cyp2w1",0.2218949921,0.2466988361,3.89800000000105,0.14241641681878,0.200108,0.2208260028,10.1899999999987,0.00612730663485378,0.2002454198,8.02800000000025,0.00460596711440482
"cyp8a1",0.2248666125,0.2248566125,0,1,0.199479,0.199482,0,1,0.199482,0,1
"cyp1a2",0.8480648704,0.8480548704,0,1,0.435245,0.4283372712,0.349999999998545,0.839457020769818,0.435252,0.349999999998545,0.554113130070269
"cyp27b1",0.2305904788,0.2305904788,0,1,0.218155,0.2220566264,0.907999999999447,0.635082733246104,0.2187353664,0.688000000000102,0.406845489035023
"cyp4f22",0.1483176426,0.1483176426,0,1,0.127798,0.127798,0,1,0.127798,0,1
"cyp11b1_cyp11b2",0.4539380825,0.468231892,3.77799999999843,0.151222956206415,0.46082,0.4693585976,8.06000000000131,0.0177743299536478,0.4539054273,4.47400000000198,0.0344143356226668
"cyp46a1",0.06390448,0.06390448,0,1,0.056778,0.05678,0,1,0.05678,0,1
"cyp1a1",0.3214643266,0.3214643266,0,1,0.298823,0.298827,0,1,0.298827,0,1
"cyp7a1",0.2266495505,0.2298702462,0.066000000000713,0.967538559588687,0.219111,0.230630877,6.73999999999978,0.0343896373434765,0.2254003855,0.321999999998297,0.570408190011078
"cyp2d6",0.631472497,0.631472497,0,1,0.508111,0.5285571012,7.7980000000025,0.0202621634815551,0.508117,7.7980000000025,0.00523040958478702
"cyp2f1",0.9832213567,0.6190530482,62.1479999999974,3.19693104733681e-14,0.61639,0.618831756,0.308000000000902,0.857272021011071,0.6187729082,0,1
"cyp2u1",0.22683796,0.22683796,0,1,0.215087,0.2218421702,1.00200000000041,0.605924432217064,0.2218413216,0,1
"cyp4a11_cyp4a22",0.4101862712,0.5139098953,35.7220000000016,1.75011367672023e-08,0.415594,0.5149695368,45.5519999999997,1.28383402120865e-10,0.409753712,34.1599999999999,5.07617126470084e-09
"cyp2c8_cyp2c9_cyp2c18_cyp2c19",0.4209053265,0.4931406177,15.9600000000028,0.000342239422514566,0.396425,0.4636113288,37.275999999998,8.04673031561821e-09,0.4031444574,20.6519999999982,5.50796212553583e-06
"cyp51a1",0.141187474,0.141187474,0,1,0.131132,0.131132,0,1,0.131132,0,1
"cyp19a1",0.2654671272,0.2654671272,0,1,0.244503,0.2488642032,0.680000000000291,0.711770322762506,0.24771544,0.290000000000873,0.590220530273994
"cyp7b1",0.5703755474,0.7821865472,34.9799999999996,2.53623511680797e-08,0.578912,0.7634969305,40.3399999999983,1.73892279285305e-09,0.56996229,36.5799999999999,1.46527413590568e-09
"cyp24a1",0.2203985152,0.2203985152,0,1,0.202621,0.2040488318,0.208000000000538,0.901225297420962,0.2030809335,0.0940000000009604,0.759152273207457
"cyp2b6",0.3764193792,0.37615556,0,1,0.360203,0.3803201428,3.64799999999923,0.161378942409667,0.3657482478,2.40999999999985,0.120562366078284
"cyp2e1",0.3351683264,0.351675498,3.66400000000067,0.160093061252927,0.329377,0.36007022,8.97400000000016,0.0112543562844449,0.3348007219,1.88800000000083,0.169427674381803
"cyp4v2",0.2666921384,0.2666921384,0,1,0.249829,0.263808181,6.74799999999959,0.0342523535447483,0.250081786,3.11200000000099,0.0777174732742339
"cyp2j2",0.3851276324,0.4251721945,3.63199999999961,0.16267515187366,0.383585,0.4251588928,11.6440000000002,0.0029616758657465,0.384783908,3.83799999999974,0.0501032526603551
"cyp21a2",0.33040466,0.33040466,0,1,0.296448,0.3051243879,3.38400000000001,0.184150853738147,0.2965579898,3.36199999999917,0.0667169959011187
